image_id,PredictionString
83caa8a85e03606cf57e49147d7ac569,9 0.0 306 731 941 1395 13 0.0 544 866 896 1316 3 0.0 239 1311 1328 1907 13 0.0 158 1063 864 1524 9 0.0 292 1266 756 1395 3 0.0 535 1446 1962 2587 11 0.0 612 399 958 534 11 0.0 1197 456 1638 579 0 0.0 1080 765 1310 996 13 0.2 306 1254 738 1406 3 0.8 788 1097 1769 1597
7550347fa2bb96c2354a3716dfa3a69c,14 1 0 0 1 1
74b23792db329cff5843e36efb8aa65a,14 1 0 0 1 1
94568a546be103177cb582d3e91cd2d8,11 0.0 1312 9 1433 104 11 0.0 689 698 853 778 0 0.0 865 1025 1250 1471 0 0.3 989 1049 1207 1381 3 0.7 631 1618 1527 1941 14 0.9126122146844864 0 0 1 1
6da36354fc904b63bc03eb3884e0c35c,11 0.0 655 292 835 348 13 0.0 1494 747 1646 835 7 0.0 739 357 819 432 13 0.0 1357 659 1791 961 11 0.0 642 302 815 394 9 0.1 747 371 803 441 8 0.1 747 376 803 436 11 0.2 602 297 763 343 9 0.2 301 1420 847 1838 13 0.2 1538 738 1707 803 13 0.4 1478 715 1711 849 14 0.3007515855133533 0 0 1 1
5b3620a56668010877cfafa9322e18b5,14 1 0 0 1 1
5157d5c9b1f0004b29310652ea54e825,14 1 0 0 1 1
74897408dcbd69ef7c76cbbbbeb722d6,13 0.0 1884 660 1944 756 11 0.0 1692 474 1860 570 11 0.0 1038 468 1200 582 11 0.0 1704 468 1944 636 0 0.1 1656 792 1860 972 11 0.1 1878 462 2118 564 11 0.1 1038 450 1338 564 11 0.1 1140 462 1398 528 11 0.1 1716 474 1962 552 3 0.7 1248 1542 2286 1920 0 0.7 1602 774 1878 1068
271290de7e7e4fb8aa1c31327f48f4b5,14 1 0 0 1 1
cdb9c0046cc8f9e32fcafc5517000525,14 1 0 0 1 1
eb4c1f7a8fcd7ee076ae9f5eca8d05fc,14 1 0 0 1 1
366fb4e84d6940ea74267b32edbd1311,0 0.0 1644 834 1938 1188 11 0.0 1200 504 1422 546 9 0.0 1842 1614 2526 1866 11 0.0 1794 540 2094 606 13 0.0 888 1392 1182 1500 3 0.0 732 1644 2064 2196 10 0.1 660 1740 750 1944 11 0.1 1140 498 1500 570 14 0.8128079324960709 0 0 1 1
f5f77203f00504c40b45a65d23cd8948,14 1 0 0 1 1
212dc39b6ba6941b034c2cd92cf97a8d,0 0.0 1404 822 2004 1374 11 0.0 1128 432 1392 474 11 0.0 1920 444 2172 498 11 0.1 1818 450 1998 558 3 0.3 1236 1614 2220 1956 0 0.6 1656 858 1944 1242 14 0.23917529685422775 0 0 1 1
a5eabc3dd2734b211c9b09205443a2ea,11 0.0 630 260 1090 571 9 0.0 292 1424 903 1817 11 0.0 912 11 1163 61 11 0.0 1232 6 1433 55 9 0.0 310 1678 465 1828 11 0.0 1369 393 1871 543 13 0.0 1670 1424 1971 1717 9 0.0 278 1562 616 1894 13 0.0 443 864 616 958 9 0.0 383 1529 830 1717 13 0.0 1811 1451 1985 1512 13 0.0 365 726 735 1064 9 0.1 310 1640 557 1839 9 0.1 520 1534 821 1651 5 0.1 1423 1307 2035 1828 11 0.2 689 316 1049 443 6 0.2 1533 1340 2007 1845 13 0.5 406 831 675 986 14 0.6428647413849831 0 0 1 1
c374e62c67f8e7a4d460e37d56bfa852,14 1 0 0 1 1
cb3b210015a31adab114493e1150eaf8,9 0.0 1168 1675 1772 1932 14 0.8717613369226456 0 0 1 1
6cbf4295b5b72bc01ef6fd171ef7733e,9 0.0 0 1013 298 2140 3 0.0 791 1233 1823 1782 5 0.0 213 1395 862 1796 13 0.0 1685 1443 2058 1720 9 0.0 1422 1605 2063 1997 7 0.0 1440 1524 1938 1787 7 0.0 1280 1209 1858 1753 11 0.0 1916 1557 2143 2026 11 0.0 1974 1486 2169 1787 10 0.0 1920 1782 2098 2097 7 0.0 1427 1132 2098 1706 7 0.0 1334 1414 2089 1796 10 0.0 1369 1390 2080 1858 11 0.0 1894 1443 2107 1796 6 0.0 1654 1061 2054 1682 13 0.1 1596 1132 2107 1777 11 0.3 1947 1562 2094 1768 13 0.3 1760 1061 2032 1663 13 0.4 1649 1323 2054 1634 9 0.4 1405 1538 2036 1820 13 0.6 1823 1405 2000 1476 13 0.6 1743 1357 2014 1548 14 0.5241543725132942 0 0 1 1
564141a415cfa32841bb2de146faa5eb,14 1 0 0 1 1
fc28fc9ede2c505c2125343c048124b6,14 1 0 0 1 1
2f775125346cd62232d8e835794941c0,11 0.0 1473 375 1804 627 13 0.0 1410 332 1904 766 8 0.0 1800 1591 1904 1660 11 0.0 580 375 902 471 11 0.0 1396 316 1677 364 11 0.0 580 370 843 434 13 0.0 1695 503 1809 637 13 0.1 1618 477 1813 675 13 0.3 1491 412 1827 702 14 0.32118841260671616 0 0 1 1
1fae839a73abec3f3d7436fa2bce4630,9 0.0 1112 1758 1752 1914 11 0.0 12 2002 64 2090 8 0.0 296 1841 332 1885 11 0.0 1472 312 1620 444 8 0.0 360 1084 424 1128 9 0.0 292 1841 336 1885 7 0.0 1536 1436 1848 1973 9 0.0 1532 1494 1868 2002 13 0.0 408 557 524 615 13 0.0 1248 1367 1872 1963 11 0.0 592 264 836 317 13 0.0 1552 1523 1832 1958 0 0.3 1080 664 1316 903 14 0.11349160131067038 0 0 1 1
6f8320a9c444090bd55010537a9e7dcb,14 1 0 0 1 1
da35978a37f990de5a0d68b1e9399e9e,14 1 0 0 1 1
5b6707d336c733e0a8d4233bb08483c7,14 1 0 0 1 1
c06b82fd93dbc1cc113b779b69b1696a,14 1 0 0 1 1
bb5ffb34f5baa01ec1e47df249046609,14 1 0 0 1 1
615be21de05d7049ddb1652520d7f528,9 0.0 0 1078 114 1592 11 0.0 1257 221 1600 331 5 0.0 246 764 800 1384 11 0.0 492 263 871 357 5 0.0 1521 866 2040 1651 9 0.0 4 1057 207 1715 9 0.0 1631 832 2031 1732 9 0.0 769 361 1380 1749 9 0.0 2031 815 2247 1698 9 0.1 1811 866 2233 1914 0 0.4 1055 573 1354 857 3 0.7 769 1256 1811 1638 14 0.7179944440722466 0 0 1 1
c4311217936b89f9dbcc6fb57e00b40d,14 1 0 0 1 1
4317ccff1c5ab145abf05130c49402b0,9 0.0 2357 2730 2421 2861 5 0.0 1428 1156 2030 1700 14 0.3351078927516937 0 0 1 1
39af4d0dbe33277af4520b6bdee5e1b2,14 1 0 0 1 1
90298b04a0c568ee2144c3431711b30e,14 1 0 0 1 1
b440e6708f332a8be9eeccc368b0df24,11 0.0 648 526 999 604 6 0.0 1679 1119 1907 1501 13 0.0 1684 1158 1898 1518 8 0.0 1702 1285 1834 1523 7 0.0 1597 1124 1871 1545 11 0.0 1328 548 1784 676 3 0.0 840 1529 2021 2127 7 0.0 1382 1069 2080 2022 5 0.0 1428 997 2071 1928 13 0.0 1583 1014 2017 1590 0 0.0 1223 847 1483 1152 8 0.0 1747 1418 1807 1484 6 0.1 1442 991 2067 1966 6 0.5 1542 1052 1944 1562 14 0.5384850539267063 0 0 1 1
415fe8e39c0546ff191f8e33888f09d4,14 1 0 0 1 1
6febf1e7c57204153c4751a1bf6e39cc,14 1 0 0 1 1
a2a2bd5197fb23da123f610e00d8b08e,14 1 0 0 1 1
e541711f560cd700d7fdddd1d3dd98d4,14 1 0 0 1 1
99ccfe1695993a5275d11aad4e2abb9c,14 1 0 0 1 1
